;codigo_ccaa;codigo_provincia;ambito_territorial;poblacion_derecho;n_diputados;numero_mesas;censo_ine;censo_escrutinio;participacion_2;votos_blancos;votos_nulos;votos_candidaturas;denominacion;siglas;votos;diputados;porcentaje_participacion;porcentaje_votos_partido;porcentaje_votos_nulos;porcentaje_votos_blancos;porcentaje_diputados_obtenidos
33;1;14;Córdoba;785240;6;935;648338;648341;358996;5405;7399;438971;PARTIDO COMUNISTA DEL PUEBLO ANDALUZ;PCPA;544;0;55.37;0.15;2.06;1.51;0.0
34;1;14;Córdoba;785240;6;935;648338;648341;358996;5405;7399;438971;POR UN MUNDO MÁS JUSTO;PUM+J;478;0;55.37;0.13;2.06;1.51;0.0
35;1;14;Córdoba;785240;6;935;648338;648341;358996;5405;7399;438971;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;321;0;55.37;0.09;2.06;1.51;0.0
36;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;160190;3;51.64;41.08;2.08;1.16;42.86
37;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;PARTIDO POPULAR;PP;105192;2;51.64;26.98;2.08;1.16;28.57
38;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;VOX;VOX;99928;1;51.64;25.63;2.08;1.16;14.29
39;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;UNIDAS PODEMOS;PODEMOS-IU LV CA;59331;1;51.64;15.22;2.08;1.16;14.29
40;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;37772;0;51.64;9.69;2.08;1.16;0.0
41;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;MÁS PAÍS-ANDALUCÍA;MÁS PAÍS-AN;8629;0;51.64;2.21;2.08;1.16;0.0
42;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;4095;0;51.64;1.05;2.08;1.16;0.0
43;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;POR UN MUNDO MÁS JUSTO;PUM+J;624;0;51.64;0.16;2.08;1.16;0.0
44;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;ANDALUCÍA POR SÍ;AxSÍ;619;0;51.64;0.16;2.08;1.16;0.0
45;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;545;0;51.64;0.14;2.08;1.16;0.0
46;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;CONVERGENCIA ANDALUZA;CAnda;520;0;51.64;0.13;2.08;1.16;0.0
47;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;PARTIDO COMUNISTA DEL PUEBLO ANDALUZ;PCPA;371;0;51.64;0.1;2.08;1.16;0.0
48;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;322;0;51.64;0.08;2.08;1.16;0.0
49;1;18;Granada;912075;7;1100;755007;755007;389916;4528;8123;478251;IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA;IZAR;113;0;51.64;0.03;2.08;1.16;0.0
50;1;21;Huelva;519932;5;650;399014;399019;197236;3345;4648;247336;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;91656;3;49.43;46.47;2.36;1.7;60.0
51;1;21;Huelva;519932;5;650;399014;399019;197236;3345;4648;247336;VOX;VOX;52485;1;49.43;26.61;2.36;1.7;20.0
52;1;21;Huelva;519932;5;650;399014;399019;197236;3345;4648;247336;PARTIDO POPULAR;PP;49452;1;49.43;25.07;2.36;1.7;20.0
53;1;21;Huelva;519932;5;650;399014;399019;197236;3345;4648;247336;UNIDAS PODEMOS;PODEMOS-IU LV CA;30389;0;49.43;15.41;2.36;1.7;0.0
54;1;21;Huelva;519932;5;650;399014;399019;197236;3345;4648;247336;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;18382;0;49.43;9.32;2.36;1.7;0.0
55;1;21;Huelva;519932;5;650;399014;399019;197236;3345;4648;247336;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;2535;0;49.43;1.29;2.36;1.7;0.0
56;1;21;Huelva;519932;5;650;399014;399019;197236;3345;4648;247336;ANDALUCÍA POR SÍ;AxSÍ;856;0;49.43;0.43;2.36;1.7;0.0
57;1;21;Huelva;519932;5;650;399014;399019;197236;3345;4648;247336;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;495;0;49.43;0.25;2.36;1.7;0.0
58;1;21;Huelva;519932;5;650;399014;399019;197236;3345;4648;247336;PARTIDO COMUNISTA OBRERO ESPAÑOL;PCOE;464;0;49.43;0.24;2.36;1.7;0.0
59;1;21;Huelva;519932;5;650;399014;399019;197236;3345;4648;247336;POR UN MUNDO MÁS JUSTO;PUM+J;351;0;49.43;0.18;2.36;1.7;0.0
60;1;21;Huelva;519932;5;650;399014;399019;197236;3345;4648;247336;PARTIDO COMUNISTA DEL PUEBLO ANDALUZ;PCPA;159;0;49.43;0.08;2.36;1.7;0.0
61;1;21;Huelva;519932;5;650;399014;399019;197236;3345;4648;247336;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;112;0;49.43;0.06;2.36;1.7;0.0
62;1;23;Jaén;638099;5;892;526661;526659;289323;3361;5937;361745;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;141737;3;54.94;48.99;2.05;1.16;60.0
63;1;23;Jaén;638099;5;892;526661;526659;289323;3361;5937;361745;PARTIDO POPULAR;PP;82055;1;54.94;28.36;2.05;1.16;20.0
64;1;23;Jaén;638099;5;892;526661;526659;289323;3361;5937;361745;VOX;VOX;71950;1;54.94;24.87;2.05;1.16;20.0
65;1;23;Jaén;638099;5;892;526661;526659;289323;3361;5937;361745;UNIDAS PODEMOS;PODEMOS-IU LV CA;35962;0;54.94;12.43;2.05;1.16;0.0
66;1;23;Jaén;638099;5;892;526661;526659;289323;3361;5937;361745;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;24816;0;54.94;8.58;2.05;1.16;0.0
67;1;23;Jaén;638099;5;892;526661;526659;289323;3361;5937;361745;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;2766;0;54.94;0.96;2.05;1.16;0.0
68;1;23;Jaén;638099;5;892;526661;526659;289323;3361;5937;361745;ANDALUCÍA POR SÍ;AxSÍ;856;0;54.94;0.3;2.05;1.16;0.0
69;1;23;Jaén;638099;5;892;526661;526659;289323;3361;5937;361745;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;471;0;54.94;0.16;2.05;1.16;0.0
70;1;23;Jaén;638099;5;892;526661;526659;289323;3361;5937;361745;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;464;0;54.94;0.16;2.05;1.16;0.0
71;1;23;Jaén;638099;5;892;526661;526659;289323;3361;5937;361745;POR UN MUNDO MÁS JUSTO;PUM+J;419;0;54.94;0.14;2.05;1.16;0.0
72;1;23;Jaén;638099;5;892;526661;526659;289323;3361;5937;361745;PARTIDO REPUBLICANO INDEPENDIENTE SOLIDARIO ANDALUZ;RISA;249;0;54.94;0.09;2.05;1.16;0.0
73;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;226831;4;51.65;36.67;1.63;1.35;36.36
74;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;PARTIDO POPULAR;PP;163177;3;51.65;26.38;1.63;1.35;27.27
75;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;VOX;VOX;162280;2;51.65;26.23;1.63;1.35;18.18
76;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;UNIDAS PODEMOS;PODEMOS-IU LV CA;97801;1;51.65;15.81;1.63;1.35;9.09
77;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;66995;1;51.65;10.83;1.63;1.35;9.09
