;codigo_ccaa;codigo_provincia;ambito_territorial;poblacion_derecho;n_diputados;numero_mesas;censo_ine;censo_escrutinio;participacion_2;votos_blancos;votos_nulos;votos_candidaturas;denominacion;siglas;votos;diputados;porcentaje_participacion;porcentaje_votos_partido;porcentaje_votos_nulos;porcentaje_votos_blancos;porcentaje_diputados_obtenidos
665;12;99;Comunidad de Madrid;6578079;37;7564;5088090;5088093;2935738;28783;28317;3534364;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;323076;3;57.7;11.0;0.96;0.98;8.11
666;12;99;Comunidad de Madrid;6578079;37;7564;5088090;5088093;2935738;28783;28317;3534364;MÁS PAÍS-EQUO;MÁS PAÍS-EQ;201389;2;57.7;6.86;0.96;0.98;5.41
667;12;99;Comunidad de Madrid;6578079;37;7564;5088090;5088093;2935738;28783;28317;3534364;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;31983;0;57.7;1.09;0.96;0.98;0.0
668;12;99;Comunidad de Madrid;6578079;37;7564;5088090;5088093;2935738;28783;28317;3534364;RECORTES CERO-GRUPO VERDE-PARTIDO CASTELLANO-TIERRA COMUNERA;RECORTES CERO-GV-PCAS-TC;5129;0;57.7;0.17;0.96;0.98;0.0
669;12;99;Comunidad de Madrid;6578079;37;7564;5088090;5088093;2935738;28783;28317;3534364;POR UN MUNDO MÁS JUSTO;PUM+J;4305;0;57.7;0.15;0.96;0.98;0.0
670;12;99;Comunidad de Madrid;6578079;37;7564;5088090;5088093;2935738;28783;28317;3534364;PARTIDO HUMANISTA;PH;2508;0;57.7;0.09;0.96;0.98;0.0
671;12;99;Comunidad de Madrid;6578079;37;7564;5088090;5088093;2935738;28783;28317;3534364;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;PCPE;2099;0;57.7;0.07;0.96;0.98;0.0
672;12;99;Comunidad de Madrid;6578079;37;7564;5088090;5088093;2935738;28783;28317;3534364;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;1895;0;57.7;0.06;0.96;0.98;0.0
683;13;99;Comunidad Foral de Navarra;647554;5;976;512825;512826;273798;3451;3014;331531;NAVARRA SUMA;NA+;99078;2;53.39;36.19;1.1;1.26;40.0
684;13;99;Comunidad Foral de Navarra;647554;5;976;512825;512826;273798;3451;3014;331531;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;83734;1;53.39;30.58;1.1;1.26;20.0
685;13;99;Comunidad Foral de Navarra;647554;5;976;512825;512826;273798;3451;3014;331531;EUSKAL HERRIA BILDU;EH Bildu;56548;1;53.39;20.65;1.1;1.26;20.0
686;13;99;Comunidad Foral de Navarra;647554;5;976;512825;512826;273798;3451;3014;331531;UNIDAS PODEMOS;PODEMOS-IU-BATZARRE;55498;1;53.39;20.27;1.1;1.26;20.0
687;13;99;Comunidad Foral de Navarra;647554;5;976;512825;512826;273798;3451;3014;331531;VOX;VOX;19440;0;53.39;7.1;1.1;1.26;0.0
688;13;99;Comunidad Foral de Navarra;647554;5;976;512825;512826;273798;3451;3014;331531;GEROA BAI;GBAI;12709;0;53.39;4.64;1.1;1.26;0.0
689;13;99;Comunidad Foral de Navarra;647554;5;976;512825;512826;273798;3451;3014;331531;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;2250;0;53.39;0.82;1.1;1.26;0.0
690;13;99;Comunidad Foral de Navarra;647554;5;976;512825;512826;273798;3451;3014;331531;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;965;0;53.39;0.35;1.1;1.26;0.0
691;13;99;Comunidad Foral de Navarra;647554;5;976;512825;512826;273798;3451;3014;331531;POR UN MUNDO MÁS JUSTO/BIDEZKO MUNDURANTZ;PUM+J;928;0;53.39;0.34;1.1;1.26;0.0
692;13;99;Comunidad Foral de Navarra;647554;5;976;512825;512826;273798;3451;3014;331531;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA/ES;PCTE/ELAK;381;0;53.39;0.14;1.1;1.26;0.0
729;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO;EAJ-PNV;379002;6;55.19;38.31;0.68;0.67;33.33
730;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE);PSE-EE (PSOE);227396;4;55.19;22.98;0.68;0.67;22.22
731;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;EUSKAL HERRIA BILDU;EH Bildu;221073;4;55.19;22.35;0.68;0.67;22.22
732;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;ELKARREKIN PODEMOS-UNIDAS PODEMOS;PODEMOS-IU;182674;3;55.19;18.46;0.68;0.67;16.67
733;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;PARTIDO POPULAR;PP;104746;1;55.19;10.59;0.68;0.67;5.56
734;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;VOX;VOX;28979;0;55.19;2.93;0.68;0.67;0.0
735;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;13279;0;55.19;1.34;0.68;0.67;0.0
736;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;MÁS PAÍS-CANDIDATURA ECOLOGISTA;MÁS PAÍS-CA;8542;0;55.19;0.86;0.68;0.67;0.0
737;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;7005;0;55.19;0.71;0.68;0.67;0.0
738;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;1672;0;55.19;0.17;0.68;0.67;0.0
739;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;BIDEZKO MUNDURANTZ-POR UN MUNDO MÁS JUSTO;PUM+J;1221;0;55.19;0.12;0.68;0.67;0.0
